Timecode List:,00:00:01.120,00:00:38.640,00:00:52.800,00:01:08.200,00:01:18.160,00:01:19.280,00:01:20.080,00:01:23.760,00:01:56.800,00:02:20.200,00:02:23.640,00:02:26.960,00:02:39.120,00:02:56.280,00:03:11.480,00:03:17.920,00:03:20.960,00:03:24.520,00:03:30.240,00:03:51.720,00:03:53.200,00:04:01.000,00:04:04.960,00:04:18.880,00:04:25.440,00:04:30.000,00:04:31.760,00:04:35.200,00:04:38.520,00:04:46.080,00:04:50.720,00:04:53.640,00:04:57.120,00:04:59.920,00:05:15.440,00:05:20.480,00:05:39.600,00:05:47.120,00:06:00.760,00:06:05.720,00:06:14.960,00:07:04.800,00:07:21.680,00:07:38.680,00:07:57.200,00:08:02.840,00:08:07.080,00:08:18.240,00:08:38.720,00:08:49.200,00:08:51.760,00:08:53.240,00:09:00.200,00:09:03.920,00:09:06.040,00:09:09.920,00:09:19.680,00:09:21.520,00:09:31.240,00:09:43.560
Scene Number,Start Frame,Start Timecode,Start Time (seconds),End Frame,End Timecode,End Time (seconds),Length (frames),Length (timecode),Length (seconds)
1,1,00:00:00.000,0.000,28,00:00:01.120,1.120,28,00:00:01.120,1.120
2,29,00:00:01.120,1.120,966,00:00:38.640,38.640,938,00:00:37.520,37.520
3,967,00:00:38.640,38.640,1320,00:00:52.800,52.800,354,00:00:14.160,14.160
4,1321,00:00:52.800,52.800,1705,00:01:08.200,68.200,385,00:00:15.400,15.400
5,1706,00:01:08.200,68.200,1954,00:01:18.160,78.160,249,00:00:09.960,9.960
6,1955,00:01:18.160,78.160,1982,00:01:19.280,79.280,28,00:00:01.120,1.120
7,1983,00:01:19.280,79.280,2002,00:01:20.080,80.080,20,00:00:00.800,0.800
8,2003,00:01:20.080,80.080,2094,00:01:23.760,83.760,92,00:00:03.680,3.680
9,2095,00:01:23.760,83.760,2920,00:01:56.800,116.800,826,00:00:33.040,33.040
10,2921,00:01:56.800,116.800,3505,00:02:20.200,140.200,585,00:00:23.400,23.400
11,3506,00:02:20.200,140.200,3591,00:02:23.640,143.640,86,00:00:03.440,3.440
12,3592,00:02:23.640,143.640,3674,00:02:26.960,146.960,83,00:00:03.320,3.320
13,3675,00:02:26.960,146.960,3978,00:02:39.120,159.120,304,00:00:12.160,12.160
14,3979,00:02:39.120,159.120,4407,00:02:56.280,176.280,429,00:00:17.160,17.160
15,4408,00:02:56.280,176.280,4787,00:03:11.480,191.480,380,00:00:15.200,15.200
16,4788,00:03:11.480,191.480,4948,00:03:17.920,197.920,161,00:00:06.440,6.440
17,4949,00:03:17.920,197.920,5024,00:03:20.960,200.960,76,00:00:03.040,3.040
18,5025,00:03:20.960,200.960,5113,00:03:24.520,204.520,89,00:00:03.560,3.560
19,5114,00:03:24.520,204.520,5256,00:03:30.240,210.240,143,00:00:05.720,5.720
20,5257,00:03:30.240,210.240,5793,00:03:51.720,231.720,537,00:00:21.480,21.480
21,5794,00:03:51.720,231.720,5830,00:03:53.200,233.200,37,00:00:01.480,1.480
